dataset,model,class_balancing,metric,class0,class1,average,order,data
civil_uncivil,KNN,Random Undersampling,Recall,0.75,0.32,0.53,3,Train on code reviews and test on issues
civil_uncivil,LR,Random Oversampling,Recall,0.77,0.35,0.56,4,Train on code reviews and test on issues
civil_uncivil,NB,Random Undersampling,Recall,0.68,0.56,0.62,5,Train on code reviews and test on issues
civil_uncivil,RF,Random Undersampling,Recall,0.83,0.29,0.56,6,Train on code reviews and test on issues
civil_uncivil,SVM,Random Oversampling,Recall,0.75,0.39,0.57,7,Train on code reviews and test on issues
civil_uncivil,BERT,Random undersampling,Recall,0.84,0.41,0.62,1,Train on issues and test on code reviews
civil_uncivil,CART,Random Undersampling,Recall,0.64,0.51,0.57,2,Train on issues and test on code reviews
civil_uncivil,KNN,Random Undersampling,Recall,0.73,0.29,0.51,3,Train on issues and test on code reviews
civil_uncivil,LR,Random Oversampling,Recall,0.42,0.82,0.62,4,Train on issues and test on code reviews
civil_uncivil,NB,SMOTE,Recall,0.81,0.30,0.56,5,Train on issues and test on code reviews
civil_uncivil,RF,Random Undersampling,Recall,0.90,0.31,0.61,6,Train on issues and test on code reviews
civil_uncivil,SVM,Random Oversampling,Recall,0.92,0.06,0.49,7,Train on issues and test on code reviews
