Algorithm,Exp,RQ,Task,Dataset,time_no_class_balancing,time_random_oversampling,time_random_undersampling,time_smote,best_class_balancing,best_eda_parameter,best hyperparameters
SVM,exp4,RQ3,Technical/Nontechnical,1_train_lkml_test_gh,,,,0:49:02,SMOTE,"{'alpha_sr': 0.05, 'alpha_ri': 0.05, 'alpha_rs': 0.05, 'alpha_rd': 0.05, 'num_aug': 4}","{'clf__C': 0.5, 'clf__gamma': 0.5, 'features__text_vectorizer__vect__ngram_range': (1, 1)}"
,,,,,,,,,,,
BERT,exp4,RQ3,Technical/Nontechnical,2_train_gh_test_lkml,,,,,Random undersampling,"(0.05, 0.1, 0.05, 0.05, 8)","learning_rate=6.214868858400708e-05,
per_device_train_batch_size=8,
num_train_epochs=9,
weight_decay=0.16876138510420885,
warmup_steps=250"
CART,exp4,RQ3,Technical/Nontechnical,2_train_gh_test_lkml,,,,0:33:28,SMOTE,"{'alpha_sr': 0.05, 'alpha_ri': 0.05, 'alpha_rs': 0.05, 'alpha_rd': 0.05, 'num_aug': 4}","{'clf__max_depth': 50, 'clf__min_samples_leaf': 1, 'features__text_vectorizer__vect__ngram_range': (1, 1)}"
KNN,exp4,RQ3,Technical/Nontechnical,2_train_gh_test_lkml,,,5:26:33,,Random Undersampling,"{'alpha_sr': 0.05, 'alpha_ri': 0.1, 'alpha_rs': 0.05, 'alpha_rd': 0.05, 'num_aug': 4}","{'clf__leaf_size': 30, 'clf__n_neighbors': 1, 'features__text_vectorizer__vect__ngram_range': (1, 1)}"
LR,exp4,RQ3,Technical/Nontechnical,2_train_gh_test_lkml,,0:21:04,,,Random Oversampling,"{'alpha_sr': 0.2, 'alpha_ri': 0.05, 'alpha_rs': 0.05, 'alpha_rd': 0.05, 'num_aug': 4}","{‘clf__C': 1, 'features__text_vectorizer__vect__ngram_range': (1, 1)}"
NB,exp4,RQ3,Technical/Nontechnical,2_train_gh_test_lkml,,,0:23:43,,Random Undersampling,"{'alpha_sr': 0.2, 'alpha_ri': 0.05, 'alpha_rs': 0.05, 'alpha_rd': 0.05, 'num_aug': 4}","{'clf__alpha': 0.0, 'features__text_vectorizer__vect__ngram_range': (1, 2)}"
RF,exp4,RQ3,Technical/Nontechnical,2_train_gh_test_lkml,,,0:39:25,,Random Undersamping,"{'alpha_sr': 0.05, 'alpha_ri': 0.05, 'alpha_rs': 0.05, 'alpha_rd': 0.05, 'num_aug': 4}","{'clf__min_samples_split': 2, 'clf__n_estimators': 100, 'features__text_vectorizer__vect__ngram_range': (1, 2)}"
SVM,exp4,RQ3,Technical/Nontechnical,2_train_gh_test_lkml,,,,,Random Undersampling,"{'alpha_sr': 0.05, 'alpha_ri': 0.05, 'alpha_rs': 0.05, 'alpha_rd': 0.05, 'num_aug': 4}","{'clf__C': 2, 'clf__gamma': 1, 'features__text_vectorizer__vect__ngram_range': (1, 1)}"
,,,,,,,,,,,
BERT,exp4,RQ3,Civil/Uncivil,1_train_lkml_test_gh,,,,,Random undersampling,"(0.2, 0.05, 0.05, 0.05, 8)","learning_rate=2.5497706126829216e-05,
per_device_train_batch_size=4,
num_train_epochs=10,
weight_decay=0.10822922685686845,
warmup_steps=8"
CART,exp4,RQ3,Civil/Uncivil,1_train_lkml_test_gh,,0:00:27,,,Random Oversampling,"{'alpha_sr': 0.05, 'alpha_ri': 0.1, 'alpha_rs': 0.05, 'alpha_rd': 0.05, 'num_aug': 8}","{'clf__max_depth': 30, 'clf__min_samples_leaf': 1, 'features__text_vectorizer__vect__ngram_range': (1, 1)}"
KNN,exp4,RQ3,Civil/Uncivil,1_train_lkml_test_gh,,,0:00:31,,Random Undersampling,"{'alpha_sr': 0.05, 'alpha_ri': 0.1, 'alpha_rs': 0.05, 'alpha_rd': 0.05, 'num_aug': 8}","{'clf__leaf_size': 30, 'clf__n_neighbors': 2, 'features__text_vectorizer__vect__ngram_range': (1, 2)}"
LR,exp4,RQ3,Civil/Uncivil,1_train_lkml_test_gh,,0:00:37,,,Random Oversampling,"{'alpha_sr': 0.05, 'alpha_ri': 0.05, 'alpha_rs': 0.05, 'alpha_rd': 0.05, 'num_aug': 8}","{'clf__C': 10, 'features__text_vectorizer__vect__ngram_range': (1, 2)}"
NB,exp4,RQ3,Civil/Uncivil,1_train_lkml_test_gh,,,0:00:29,,Random Undersampling,"{'alpha_sr': 0.05, 'alpha_ri': 0.05, 'alpha_rs': 0.05, 'alpha_rd': 0.05, 'num_aug': 8}","{'clf__alpha': 0.1, 'features__text_vectorizer__vect__ngram_range': (1, 2)}"
RF,exp4,RQ3,Civil/Uncivil,1_train_lkml_test_gh,,,0:00:36,,Random Undersampling,"{'alpha_sr': 0.05, 'alpha_ri': 0.05, 'alpha_rs': 0.05, 'alpha_rd': 0.05, 'num_aug': 8}","{'clf__min_samples_split': 2, 'clf__n_estimators': 50, 'features__text_vectorizer__vect__ngram_range': (1, 2)}"
SVM,exp4,RQ3,Civil/Uncivil,1_train_lkml_test_gh,,0:03:21,,,Random Oversampling,"{'alpha_sr': 0.2, 'alpha_ri': 0.1, 'alpha_rs': 0.05, 'alpha_rd': 0.05, 'num_aug': 16}","{'clf__C': 8192, 'clf__gamma': 0.0001220703125, 'features__text_vectorizer__vect__ngram_range': (1, 2)}"
,,,,,,,,,,,
BERT,exp4,RQ3,Civil/Uncivil,2_train_gh_test_lkml,,,,,Random undersampling,"(0.2, 0.05, 0.05, 0.05, 16)","learning_rate=1.4578386061584304e-05,
per_device_train_batch_size=4,
num_train_epochs=3,
weight_decay=0.05984480297859859,
warmup_steps=500,"
CART,exp4,RQ3,Civil/Uncivil,2_train_gh_test_lkml,,,,,Random Undersampling,"{'alpha_sr': 0.05, 'alpha_ri': 0.1, 'alpha_rs': 0.05, 'alpha_rd': 0.05, 'num_aug': 8}","{'clf__max_depth': 50, 'clf__min_samples_leaf': 1, 'features__text_vectorizer__vect__ngram_range': (1, 1)}"
KNN,exp4,RQ3,Civil/Uncivil,2_train_gh_test_lkml,,,,,Random Undersampling,"{'alpha_sr': 0.2, 'alpha_ri': 0.05, 'alpha_rs': 0.05, 'alpha_rd': 0.05, 'num_aug': 16}","{'clf__leaf_size': 10, 'clf__n_neighbors': 1, 'features__text_vectorizer__vect__ngram_range': (1, 1)}"
LR,exp4,RQ3,Civil/Uncivil,2_train_gh_test_lkml,,,,,Random Oversampling,"{'alpha_sr': 0.05, 'alpha_ri': 0.1, 'alpha_rs': 0.05, 'alpha_rd': 0.05, 'num_aug': 16}","{'clf__C': 1, 'features__text_vectorizer__vect__ngram_range': (1, 2)}"
NB,exp4,RQ3,Civil/Uncivil,2_train_gh_test_lkml,,,,,SMOTE,"{'alpha_sr': 0.2, 'alpha_ri': 0.05, 'alpha_rs': 0.05, 'alpha_rd': 0.05, 'num_aug': 8}","{'clf__alpha': 0.1, 'features__text_vectorizer__vect__ngram_range': (1, 2)}"
RF,exp4,RQ3,Civil/Uncivil,2_train_gh_test_lkml,,,,,Random Undersampling,"{'alpha_sr': 0.2, 'alpha_ri': 0.05, 'alpha_rs': 0.05, 'alpha_rd': 0.05, 'num_aug': 16}","{'clf__min_samples_split': 2, 'clf__n_estimators': 100, 'features__text_vectorizer__vect__ngram_range': (1, 2)}"
SVM,exp4,RQ3,Civil/Uncivil,2_train_gh_test_lkml,,,,,Random Oversampling,"{'alpha_sr': 0.2, 'alpha_ri': 0.1, 'alpha_rs': 0.05, 'alpha_rd': 0.05, 'num_aug': 8}","{'clf__C': 0.5, 'clf__gamma': 0.5, 'features__text_vectorizer__vect__ngram_range': (1, 1)}"
