model,class_balancing,metric,score,order
BERT,-,Recall,0.94,1
BERT,Random Undersampling,Recall,0.91,1
BERT,Random Oversampling,Recall,0.92,1
CART,Random Undersampling,Recall,0.65,2
CART,Random Oversampling,Recall,0.68,2
CART,SMOTE,Recall,0.66,2
KNN,Random Undersampling,Recall,0.61,3
KNN,Random Oversampling,Recall,0.60,3
KNN,SMOTE,Recall,0.61,3
LR,Random Undersampling,Recall,0.76,4
LR,Random Oversampling,Recall,0.77,4
LR,SMOTE,Recall,0.76,4
NB,Random Undersampling,Recall,0.75,5
NB,Random Oversampling,Recall,0.74,5
NB,SMOTE,Recall,0.73,5
RF,Random Undersampling,Recall,0.71,6
RF,Random Oversampling,Recall,0.70,6
RF,SMOTE,Recall,0.69,6
SVM,Random Undersampling,Recall,0.54,7
SVM,Random Oversampling,Recall,0.66,7
SVM,SMOTE,Recall,0.61,7
BERT,-,Precision,0.95,1
BERT,Random Undersampling,Precision,0.91,1
BERT,Random Oversampling,Precision,0.92,1
CART,Random Undersampling,Precision,0.66,2
CART,Random Oversampling,Precision,0.69,2
CART,SMOTE,Precision,0.68,2
KNN,Random Undersampling,Precision,0.62,3
KNN,Random Oversampling,Precision,0.61,3
KNN,SMOTE,Precision,0.61,3
LR,Random Undersampling,Precision,0.76,4
LR,Random Oversampling,Precision,0.78,4
LR,SMOTE,Precision,0.78,4
NB,Random Undersampling,Precision,0.76,5
NB,Random Oversampling,Precision,0.76,5
NB,SMOTE,Precision,0.76,5
RF,Random Undersampling,Precision,0.81,6
RF,Random Oversampling,Precision,0.80,6
RF,SMOTE,Precision,0.81,6
SVM,Random Undersampling,Precision,0.62,7
SVM,Random Oversampling,Precision,0.71,7
SVM,SMOTE,Precision,0.67,7
BERT,-,MCC,0.89,1
BERT,Random Undersampling,MCC,0.82,1
BERT,Random Oversampling,MCC,0.84,1
CART,Random Undersampling,MCC,0.31,2
CART,Random Oversampling,MCC,0.37,2
CART,SMOTE,MCC,0.34,2
KNN,Random Undersampling,MCC,0.23,3
KNN,Random Oversampling,MCC,0.22,3
KNN,SMOTE,MCC,0.22,3
LR,Random Undersampling,MCC,0.52,4
LR,Random Oversampling,MCC,0.55,4
LR,SMOTE,MCC,0.54,4
NB,Random Undersampling,MCC,0.50,5
NB,Random Oversampling,MCC,0.50,5
NB,SMOTE,MCC,0.48,5
RF,Random Undersampling,MCC,0.51,6
RF,Random Oversampling,MCC,0.49,6
RF,SMOTE,MCC,0.48,6
SVM,Random Undersampling,MCC,0.16,7
SVM,Random Oversampling,MCC,0.36,7
SVM,SMOTE,MCC,0.27,7
BERT,-,nMCC,0.94,1
BERT,Random Undersampling,nMCC,0.91,1
BERT,Random Oversampling,nMCC,0.92,1
CART,Random Undersampling,nMCC,0.66,2
CART,Random Oversampling,nMCC,0.68,2
CART,SMOTE,nMCC,0.67,2
KNN,Random Undersampling,nMCC,0.62,3
KNN,Random Oversampling,nMCC,0.61,3
KNN,SMOTE,nMCC,0.61,3
LR,Random Undersampling,nMCC,0.76,4
LR,Random Oversampling,nMCC,0.77,4
LR,SMOTE,nMCC,0.77,4
NB,Random Undersampling,nMCC,0.75,5
NB,Random Oversampling,nMCC,0.75,5
NB,SMOTE,nMCC,0.74,5
RF,Random Undersampling,nMCC,0.76,6
RF,Random Oversampling,nMCC,0.75,6
RF,SMOTE,nMCC,0.74,6
SVM,Random Undersampling,nMCC,0.58,7
SVM,Random Oversampling,nMCC,0.68,7
SVM,SMOTE,nMCC,0.64,7
BERT,-,F1,0.94,1
BERT,Random Undersampling,F1,0.91,1
BERT,Random Oversampling,F1,0.92,1
CART,Random Undersampling,F1,0.66,2
CART,Random Oversampling,F1,0.68,2
CART,SMOTE,F1,0.66,2
KNN,Random Undersampling,F1,0.61,3
KNN,Random Oversampling,F1,0.60,3
KNN,SMOTE,F1,0.61,3
LR,Random Undersampling,F1,0.76,4
LR,Random Oversampling,F1,0.77,4
LR,SMOTE,F1,0.77,4
NB,Random Undersampling,F1,0.75,5
NB,Random Oversampling,F1,0.75,5
NB,SMOTE,F1,0.73,5
RF,Random Undersampling,F1,0.73,6
RF,Random Oversampling,F1,0.72,6
RF,SMOTE,F1,0.71,6
SVM,Random Undersampling,F1,0.49,7
SVM,Random Oversampling,F1,0.65,7
SVM,SMOTE,F1,0.61,7
